League,Name,Position,Team,Age,Market Value
La Liga,Nico Williams,Left Winger,Athletic Bilbao,22,"€70,000,000"
La Liga,Alejandro Balde,Left-Back,FC Barcelona,21,"€60,000,000"
La Liga,Jules Koundé,Right-Back,FC Barcelona,26,"€60,000,000"
La Liga,Dani Olmo,Attacking Midfield,FC Barcelona,26,"€60,000,000"
La Liga,Martín Zubimendi,Defensive Midfield,Real Sociedad,26,"€60,000,000"
La Liga,Oihan Sancet,Attacking Midfield,Athletic Bilbao,24,"€60,000,000"
La Liga,Ronald Araujo,Centre-Back,FC Barcelona,26,"€50,000,000"
La Liga,Fermín López,Attacking Midfield,FC Barcelona,21,"€50,000,000"
La Liga,Pablo Barrios,Central Midfield,Atlético de Madrid,21,"€50,000,000"
La Liga,Álex Baena,Left Winger,Villarreal CF,23,"€50,000,000"
La Liga,Arda Güler,Right Winger,Real Madrid,20,"€45,000,000"
La Liga,Brahim Díaz,Right Winger,Real Madrid,25,"€45,000,000"
La Liga,Frenkie de Jong,Central Midfield,FC Barcelona,27,"€45,000,000"
La Liga,Éder Militão,Centre-Back,Real Madrid,27,"€40,000,000"
La Liga,Endrick,Centre-Forward,Real Madrid,18,"€40,000,000"
La Liga,Robin Le Normand,Centre-Back,Atlético de Madrid,28,"€40,000,000"
La Liga,Conor Gallagher,Central Midfield,Atlético de Madrid,25,"€40,000,000"
La Liga,Takefusa Kubo,Right Winger,Real Sociedad,23,"€40,000,000"
La Liga,Dani Vivian,Centre-Back,Athletic Bilbao,25,"€40,000,000"
La Liga,Raúl Asencio,Centre-Back,Real Madrid,22,"€30,000,000"
La Liga,Marc Casadó,Defensive Midfield,FC Barcelona,21,"€30,000,000"
La Liga,Mikel Oyarzabal,Centre-Forward,Real Sociedad,27,"€30,000,000"
La Liga,Yéremy Pino,Right Winger,Villarreal CF,22,"€30,000,000"
La Liga,Giorgi Mamardashvili,Goalkeeper,Valencia CF,24,"€30,000,000"
La Liga,Cristhian Mosquera,Centre-Back,Valencia CF,20,"€30,000,000"
La Liga,Loïc Badé,Centre-Back,Sevilla FC,25,"€30,000,000"
La Liga,Ferran Torres,Right Winger,FC Barcelona,25,"€28,000,000"
La Liga,Marcos Llorente,Right Midfield,Atlético de Madrid,30,"€28,000,000"
La Liga,Brais Méndez,Attacking Midfield,Real Sociedad,28,"€28,000,000"
La Liga,Unai Simón,Goalkeeper,Athletic Bilbao,27,"€28,000,000"
La Liga,Thibaut Courtois,Goalkeeper,Real Madrid,32,"€25,000,000"
La Liga,Jan Oblak,Goalkeeper,Atlético de Madrid,32,"€25,000,000"
La Liga,Nahuel Molina,Right-Back,Atlético de Madrid,27,"€25,000,000"
La Liga,Rodrigo De Paul,Central Midfield,Atlético de Madrid,30,"€25,000,000"
La Liga,Samuel Lino,Left Winger,Atlético de Madrid,25,"€25,000,000"
La Liga,Giuliano Simeone,Right Winger,Atlético de Madrid,22,"€25,000,000"
